Name,Type,sponsoredAgency,School,Discipline,ResearchArea1,Gender,Category,PWD,MTechThroughGate
,INSTITUTE SCHOLAR(MHRD FUNDING),,ELECTRICAL SCIENCES,COMPUTER SCIENCE,,,GEN,NO,NO
,NON-TEACHING STAFF(IIT BHUBANESWAR),,ELECTRICAL SCIENCES,COMPUTER SCIENCE,,,GEN,NO,YES
,INSTITUTE SCHOLAR(UGC-CSIR FUNDING),,ELECTRICAL SCIENCES,COMPUTER SCIENCE,,,SC,NO,NO
,INSTITUTE SCHOLAR(MHRD FUNDING),,ELECTRICAL SCIENCES,COMPUTER SCIENCE,,,OBC,NO,YES
,INSTITUTE SCHOLAR(MHRD FUNDING),,ELECTRICAL SCIENCES,COMPUTER SCIENCE,,,GEN,NO,YES
,INSTITUTE SCHOLAR(MHRD FUNDING),,ELECTRICAL SCIENCES,COMPUTER SCIENCE,,,OBC,NO,NO
,INSTITUTE SCHOLAR(MHRD FUNDING),,ELECTRICAL SCIENCES,COMPUTER SCIENCE,,,SC,NO,YES
,NON-TEACHING STAFF(IIT BHUBANESWAR),,ELECTRICAL SCIENCES,COMPUTER SCIENCE,,,OBC,NO,NO
,INSTITUTE SCHOLAR(UGC-CSIR FUNDING),,ELECTRICAL SCIENCES,COMPUTER SCIENCE,,,OBC,NO,YES
,NON-TEACHING STAFF(IIT BHUBANESWAR),,ELECTRICAL SCIENCES,COMPUTER SCIENCE,,,GEN,NO,YES
,PROJECT SCHOLAR (PROJECTS RUNNING AT IIT BHUBANESWAR),,ELECTRICAL SCIENCES,COMPUTER SCIENCE,,,GEN,NO,NO
,SPONSORED,KONARK INSTITUTE OF SCIENCE & TECHNOLOGY,ELECTRICAL SCIENCES,COMPUTER SCIENCE,,,GEN,NO,NO
,INSTITUTE SCHOLAR(MHRD FUNDING),,ELECTRICAL SCIENCES,COMPUTER SCIENCE,,,ST,NO,NO
,INSTITUTE SCHOLAR(MHRD FUNDING),,ELECTRICAL SCIENCES,COMPUTER SCIENCE,,,GEN,NO,NO
,PROJECT SCHOLAR (PROJECTS RUNNING AT IIT BHUBANESWAR),,ELECTRICAL SCIENCES,COMPUTER SCIENCE,,,GEN,NO,YES
,INSTITUTE SCHOLAR(MHRD FUNDING),,ELECTRICAL SCIENCES,COMPUTER SCIENCE,,,OBC,YES,NO
,INSTITUTE SCHOLAR(MHRD FUNDING),,ELECTRICAL SCIENCES,COMPUTER SCIENCE,,,ST,NO,YES
,INSTITUTE SCHOLAR(MHRD FUNDING),,ELECTRICAL SCIENCES,COMPUTER SCIENCE,,,GEN,NO,NO
,INSTITUTE SCHOLAR(MHRD FUNDING),,ELECTRICAL SCIENCES,COMPUTER SCIENCE,,,GEN,NO,YES
,INSTITUTE SCHOLAR(MHRD FUNDING),,ELECTRICAL SCIENCES,COMPUTER SCIENCE,,,OBC,NO,NO
,INSTITUTE SCHOLAR(MHRD FUNDING),,ELECTRICAL SCIENCES,COMPUTER SCIENCE,,,EWS,NO,NO
,INSTITUTE SCHOLAR(MHRD FUNDING),,ELECTRICAL SCIENCES,COMPUTER SCIENCE,,,OBC,NO,NO
,INSTITUTE SCHOLAR(MHRD FUNDING),,ELECTRICAL SCIENCES,COMPUTER SCIENCE,,,EWS,NO,YES
,INSTITUTE SCHOLAR(MHRD FUNDING),,ELECTRICAL SCIENCES,COMPUTER SCIENCE,,,GEN,NO,NO
,INSTITUTE SCHOLAR(DST-INSPIRE FUNDING),,ELECTRICAL SCIENCES,COMPUTER SCIENCE,,,GEN,NO,NO
,INSTITUTE SCHOLAR(MHRD FUNDING),,ELECTRICAL SCIENCES,COMPUTER SCIENCE,,,SC,NO,NO
,INSTITUTE SCHOLAR(MHRD FUNDING),,ELECTRICAL SCIENCES,COMPUTER SCIENCE,,,OBC,NO,NO
,INSTITUTE SCHOLAR(MHRD FUNDING),,ELECTRICAL SCIENCES,COMPUTER SCIENCE,,,GEN,NO,YES
,INSTITUTE SCHOLAR(UGC-CSIR FUNDING),,ELECTRICAL SCIENCES,COMPUTER SCIENCE,,,GEN,NO,NO
,INSTITUTE SCHOLAR(MHRD FUNDING),,ELECTRICAL SCIENCES,COMPUTER SCIENCE,,,GEN,NO,YES
,INSTITUTE SCHOLAR(MHRD FUNDING),,ELECTRICAL SCIENCES,COMPUTER SCIENCE,,,GEN,NO,NO
,INSTITUTE SCHOLAR(MHRD FUNDING),,ELECTRICAL SCIENCES,COMPUTER SCIENCE,,,GEN,NO,NO
,INSTITUTE SCHOLAR(MHRD FUNDING),,ELECTRICAL SCIENCES,COMPUTER SCIENCE,,,SC,NO,NO
,INSTITUTE SCHOLAR(MHRD FUNDING),,ELECTRICAL SCIENCES,COMPUTER SCIENCE,,,GEN,NO,NO
,INSTITUTE SCHOLAR(MHRD FUNDING),,ELECTRICAL SCIENCES,COMPUTER SCIENCE,,,SC,NO,YES
,INSTITUTE SCHOLAR(MHRD FUNDING),,ELECTRICAL SCIENCES,COMPUTER SCIENCE,,,GEN,NO,NO
,INSTITUTE SCHOLAR(MHRD FUNDING),,ELECTRICAL SCIENCES,COMPUTER SCIENCE,,,GEN,NO,NO
,INSTITUTE SCHOLAR(MHRD FUNDING),,ELECTRICAL SCIENCES,COMPUTER SCIENCE,,,SC,NO,YES
,INSTITUTE SCHOLAR(UGC-CSIR FUNDING),,ELECTRICAL SCIENCES,COMPUTER SCIENCE,,,SC,NO,YES
,VISVESWARAYA PH.D. SCHEME FOR ELECTRONICS AND IT,,ELECTRICAL SCIENCES,COMPUTER SCIENCE,,,SC,NO,YES
,INSTITUTE SCHOLAR(MHRD FUNDING),,ELECTRICAL SCIENCES,COMPUTER SCIENCE,,,ST,NO,YES
,INSTITUTE SCHOLAR(MHRD FUNDING),,ELECTRICAL SCIENCES,COMPUTER SCIENCE,,,GEN,NO,YES
,INSTITUTE SCHOLAR(MHRD FUNDING),,ELECTRICAL SCIENCES,COMPUTER SCIENCE,,,GEN,NO,NO
,INSTITUTE SCHOLAR(MHRD FUNDING),,ELECTRICAL SCIENCES,COMPUTER SCIENCE,,,GEN,NO,YES
,VISVESWARAYA PH.D. SCHEME FOR ELECTRONICS AND IT,,ELECTRICAL SCIENCES,COMPUTER SCIENCE,,,SC,NO,YES
,INSTITUTE SCHOLAR(MHRD FUNDING),,ELECTRICAL SCIENCES,COMPUTER SCIENCE,,,GEN,NO,YES
,INSTITUTE SCHOLAR(MHRD FUNDING),,ELECTRICAL SCIENCES,COMPUTER SCIENCE,,,OBC,NO,YES
,INSTITUTE SCHOLAR(MHRD FUNDING),,ELECTRICAL SCIENCES,COMPUTER SCIENCE,,,SC,NO,NO
,INSTITUTE SCHOLAR(MHRD FUNDING),,ELECTRICAL SCIENCES,COMPUTER SCIENCE,,,GEN,NO,NO
