Programme,Institute,Specialization,Year,Division,Percentage,CGPA,CGPAMax
Other,West Bengal University of Technology,Computer Application,2018,1st,,7.9,10
M.Tech.,"Kalinga Institute of Industrial Technology, Bhubaneswar",Computer Science,2021,,,8.73,10
M.Sc.,UNIVERSITY OF CALCUTTA,COMPUTER AND INFORMATION SCIENCE,2018,,72.33,6.72,10
M.Tech.,Dr. B.R. Ambedkar National Institute of Technology,Computer Science & Engineering,2021,1,75.1,7.51,10
M.Tech.,NIT PATNA,M.TECH,2019,FIRST,,8.05,10
M.Tech.,"Jawaharlal Nehru University, New Delhi",Computer Science and Technology,2021,,76,7.1,9
M.Tech.,"Indian Institute of Engineering Science and Technology, Shibpur",CSE,2019,FIRST,72,,
M.Tech.,BITS PILANI,SOFTWARE SYSTEMS,2020,first,,7.26,10
M.Tech.,"NATIONAL INSTITUTE OF TECHNOLOGY,DURGAPUR,WEST BENGAL",COMPUTER SCIENCE AND ENGINEERING,2021,FIRST,7.88,,10
M.Tech.,B.I.T MESRA,CS,2021,1,89,8.9,10
NA,NA,NA,NA,NA,NA,NA,NA
M.Tech.,BIJU PATNAIK UNIVERSITY OF TECHNOLOGY,COMPUTER SCIENCE & ENGINEERING,2012,I,74,7.79,10
NA,NA,NA,NA,NA,NA,NA,NA
M.Tech.,Samblapur University Institute of Information Technology,Computer Science and Engineering,2020,first,86.95,9.2,10
M.Tech.,NIT Durgapur,Software Engineering,2015,1st,,8.42,10
M.E.,SGBAU AMRAVATI,NS OS DBMS,2018,1,,8.55,10
M.Tech.,NIT Mizoram,CSE,2021,1,,7.66,10
M.Tech.,UPES Dehradun,AI and ANN,2015,,,3.42,4
M.Tech.,NIT Silchar,CSE,2021,First,,7.88,10
M.Tech.,"Jamia Millia Islamia University , Delhi",Electronics and Communication,2021,,,9.63,10
NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA
M.Tech.,Centre for Advanced Studies AKTU Lucknow,Machine Learning,2021,First,,9.06,
NA,NA,NA,NA,NA,NA,NA,NA
M.Tech.,"Guru Nanak Dev University, Amritsar",Computer Science and Engineering,2021,1st,92.9,9.29,10
NA,NA,NA,NA,NA,NA,NA,NA
M.Tech.,NIT Patna,Computer Science and Engineering,2021,,,8.85,10
M.Tech.,"National Institute of Technology, Durgapur",Computer Science and Engineering,2020,First,,7.95,10
M.E.,"UIET, Panjab University, Chandigarh",CSE,2021,1,,7.83,10
M.Tech.,MANIT Bhopal,CSE,2019,First,8.2,,
M.Sc.,University of North Bengal,Mathematics,2019,1 st,81.38,,
M.Tech.,BIT MESRA,CSE,2020,1,79.1,,
NA,NA,NA,NA,NA,NA,NA,NA
M.Tech.,CALCUTTA UNIVERSITY,INFORMATION TECHNOLOGY,2019,1ST,68.8,,
M.Tech.,IIT Guwahati,Rural technology,2018,1,,8.44,10
M.Sc.,University of North Bengal,Mathematics,2019,1 st,63,,
M.S.,IIT Kharagpur,Artificial Intelligence,2021,,,,
M.Tech.,"Birla institute of Technology, Mesra",Computer Science And engineering,2021,1st,,7.8,10
M.Tech.,"BPUT,Odisha",IT,2016,first,,7.92,10
M.Tech.,"Defence Institute of Advanced Technology, Pune",Cyber Security,2019,First,,6.8,10
M.Tech.,"National Institute of Technology, Calicut",Electrical Engineering,2021,First,,8.89,10
M.Tech.,NIT Durgapur,Computer Science and Engineering,2020,First Class,,9.12,10
NA,NA,NA,NA,NA,NA,NA,NA
M.Tech.,MNNIT Allahabad,Software Engineering,2016,First,,8.25,10
M.Tech.,CSVTU BHILAI CG,Computer science and engineering,2021,First,77.2,,
M.Tech.,nit raipur,information technology,2019,first,,8.02,10
M.Tech.,MNIT Jaipur,Computer Engineering,2020,1,,7.38,10
M.Tech.,"UTKAL UNIVERSITY, ODISHA",COMPUTER SCIENCE,2015,1st,67.21,,
M.Tech.,AKTU,CSE,2021,1,,8.5,10
