,Category,Tenth,+2,Bachelors,Masters,UGC NET,GATE,Qualified,Reason
0,GEN,72.0,53.0,64.0,74.0,NA,426.0,0,Not Enough GATE Score
1,GEN,80.0,65.0,66.1,82.30000000000001,NA,417.0,0,Not Enough GATE Score
2,SC,93.1,69.4,63.12,72.33,COMPUTER SCIENCE AND APPLICATION,278.0,1,Qualified via NET-UGC
3,OBC,59.0,59.2,68.9,75.1,NA,359.0,0,Not Enough GATE Score
4,GEN,76.93,57.77,71.39999999999999,75.5,NA,441.0,0,Not Enough GATE Score
5,OBC,89.3,77.0,71.74,76.0,COMPUTER SCIENCE AND APPLICATIONS,470.0,1,Qualified via NET-UGC
6,SC,82.0,78.6,81.1,72.0,COMPUTER SCIENCE AND APPLICATION,428.0,1,Qualified via NET-UGC
7,OBC,77.5,77.5,68.0,67.6,NA,,0,Didn't Qualify GATE
8,OBC,74.8,60.0,70.67,7.88,NA,445.0,0,Not Enough Masters Score
9,GEN,85.0,88.0,79.0,89.0,NA,513.0,1,Qualified via GATE
10,GEN,79.8,66.2,72.4,,CS,504.0,1,Qualified via NET-UGC
11,GEN,63.0,56.0,66.5,74.0,NA,,0,Didn't Qualify GATE
12,ST,74.4,66.3,65.1,,NA,263.0,0,Not Enough GATE Score
13,GEN,86.0,66.0,68.0,86.95,NA,415.0,0,Not Enough GATE Score
14,GEN,89.73,61.16,72.1,79.2,NA,538.0,1,Qualified via GATE
15,OBC,58.8,51.33,62.52,80.5,NA,247.0,0,Not Enough GATE Score
16,ST,81.0,77.8,71.8,71.6,NA,336.0,1,Qualified via GATE
17,GEN,75.0,78.0,77.0,29.2,NA,379.0,0,Not Enough GATE Score
18,GEN,71.75,62.8,67.6,73.8,NA,381.0,0,Not Enough GATE Score
19,OBC,52.67,52.67,77.5,91.30000000000001,NA,,0,Didn't Qualify GATE
20,EWS,81.57,74.4,80.3,,NA,395.0,0,Not Enough GATE Score
21,OBC,93.0,78.8,70.7,,NA,601.0,1,Qualified via GATE
22,EWS,69.16,63.0,76.1,85.60000000000001,NA,356.0,0,Not Enough GATE Score
23,GEN,84.28,75.8,82.6,,NA,353.0,0,Not Enough GATE Score
24,GEN,93.1,74.0,83.8,92.9,NA,,0,Didn't Qualify GATE
25,SC,79.33,90.33,92.2,,NA,246.0,0,Not Enough GATE Score
26,OBC,91.0,89.4,78.6,83.5,NA,425.0,1,Qualified via GATE
27,GEN,68.13,40.0,64.4,74.5,NA,529.0,0,Not Enough 10/+2 Score
28,GEN,74.63,76.0,76.29,73.3,NA,362.0,0,Not Enough GATE Score
29,GEN,87.6,89.0,7.12,8.2,NA,600.0,0,Not Enough Bachelors Score
30,GEN,87.28,83.8,72.75,81.38,NA,411.0,0,Not Enough GATE Score
31,GEN,76.0,59.6,76.0,79.1,NA,,0,Didn't Qualify GATE
32,SC,95.0,94.0,78.69999999999999,,NA,496.0,1,Qualified via GATE
33,GEN,76.0,66.0,74.80000000000001,68.8,COMPUTER SCIENCE AND APPLICATIONS,374.0,1,Qualified via NET-UGC
34,SC,89.4,74.8,64.1,79.39999999999999,NA,298.0,0,Not Enough GATE Score
35,GEN,69.5,73.6,59.12,63.0,NA,520.0,0,Not Enough Bachelors Score
36,GEN,80.8,78.25,7.81,,NA,383.0,0,Not Enough GATE Score
37,SC,67.2,73.8,66.0,73.0,NA,341.0,1,Qualified via GATE
38,SC,88.55,71.66,71.7,74.2,computer Science,357.0,1,Qualified via NET-UGC
39,SC,59.5,60.0,65.77,63.0,NA,333.0,1,Qualified via GATE
40,ST,83.0,69.85,62.84,83.9,NA,241.0,0,Not Enough GATE Score
41,GEN,95.0,89.83,71.13,86.19999999999999,Computer Science and Applications,548.0,1,Qualified via NET-UGC
42,GEN,95.0,90.0,88.1,,NA,367.0,0,Not Enough GATE Score
43,GEN,61.0,69.2,67.8,77.5,Computer science and Applications,623.0,1,Qualified via NET-UGC
44,SC,58.5,54.2,69.62,77.2,NA,259.0,0,Not Enough GATE Score
45,GEN,90.83,88.0,78.48,75.19999999999999,computer science and application,348.0,1,Qualified via NET-UGC
46,OBC,62.33,78.0,73.32,68.8,NA,410.0,1,Qualified via GATE
47,SC,68.13,70.34,66.2,67.21,NA,,0,Didn't Qualify GATE
48,GEN,56.0,57.0,66.0,80.0,NA,324.0,0,Not Enough GATE Score
